Year(Release_Date),Developer,Count(*)
2009,"Elixir Studios",1
2009,"Enlight Software Limited",1
2009,"Epic Games, Inc.",1
2009,"Erik Svedäng",2
2009,"ES Team",1
2009,"Fakt Software",1
2009,"Feral Interactive (Linux)",5
2009,"Feral Interactive (Mac)",7
2009,"Freeze Tag Inc.",1
2009,"Frictional Games",4
2009,Frima,1
2009,"Frog City Software",2
2009,Frogwares,4
2009,FromSoftware,2
2009,Frontier,1
2009,Frozenbyte,3
2009,Futuremark,1
2009,Gamerizon,2
2009,"Gearbox Software",2
2009,"GFI Russia",2
2009,GRIN,2
2009,"Haemimont Games",5
2009,"Haggard Games",2
2009,"Headfirst Productions",1
2009,"Hemisphere Games",2
2009,"Her Interactive",22
2009,"Hidden Path Entertainment",1
2009,"Hip Soft",4
2009,"Homegrown Games",2
2009,Honeyslug,1
2009,"Ice-pick Lodge",1
2009,"Infinite Interactive",2
2009,"Infinity Ward",2
2009,InnoGlow,2
2009,"Interplay Inc.",2
2009,"Invent4 Entertainment",2
2009,"Inventive Dingo",2
2009,"inXile Entertainment",1
2009,"inXile Entertainment, inc.",1
2009,"IO Interactive",3
2009,IonFX,1
2009,"Irrational Games",6
2009,iWin,8
2009,"Jason Rohrer",1
2009,"Joju Games",1
2009,"Katauri Interactive",3
2009,KatGames,1
2009,"KDV Games",2
2009,Kloonigames,2
2009,"Konstantin Koshutin",2
2009,"KranX Productions",2
2009,"Krome Studios",2
2009,"Last Day of Work",2
2009,"Lazy 8 Studios",2
2009,"Lesta Studios Inc",1
2009,"Linksolutions Ltd.",1
2009,"Liquid Entertainment",1
2009,"Llamasoft LTD",1
2009,"Lucas Pope and Keiko Ishizaka",1
2009,LucasArts,23
2009,"Makivision Games",2
2009,"Mascot Entertainment",1
2009,"Massive Entertainment",2
2009,"Master Creating",1
2009,"Mindstorm Studios",2
2009,"Mindware Studios",1
2009,Monolith,2
2009,"Monolith Productions, Inc.",1
2009,Mousechief,1
2009,MumboJumbo,9
2009,NeocoreGames,3
2009,Nimblebit,1
2009,"Nimbly Games",2
2009,"Nitro Games",4
2009,"Nordic Games",2
2009,NovaLogic,16
2009,"Noviy Disk",1
2009,"Number None",3
2009,"Oovee Simulation",1
2009,"Oovee® Game Studios",1
2009,"Oxeye Game Studio",2
2009,"Paleo Entertainment",1
2009,"Pandemic Studios",2
2009,"Paradox Development Studio",3
2009,"Paradox Interactive",9
2009,Phenomic,2
2009,"Piranha Bytes",1
2009,"Piranha – Bytes",3
2009,"Planet Moon Studios",2
2009,Playbrains,3
2009,PlayFirst,3
2009,"PopCap Games, Inc.",11
2009,"PopTop Software",2
2009,"Positech Games",3
2009,"Proper Games",2
2009,"Puny Human",2
2009,"Radical Entertainment",1
2009,"Radon Labs",1
2009,RailSimulator.com,18
2009,"Rake in Grass",3
2009,"Raven Software",4
2009,"Reactor Zero",2
2009,"Reality Pump Studios",1
2009,"Realmforge Studios",1
2009,Rebellion,3
