Developer,count(*)
"Axel Shokk",1
"Axis Game Factory",6
"Axis Game Factory LLC",5
"Axis Game Factory, Inc.",1
"Axis Games",2
"Axolot Games",1
"Axyos Games",1
"AZ-Art Development Studio",1
b-Alive,6
"b-alive gmbh",13
B-evil,2
Babylon,1
"Back To Basics Gaming",1
"Backstab Games",1
"Backward pieS",1
"Bacon Bandit Games",3
"Bacon Wrapped Games",4
"Bacq Stellan",2
"Bad Cast games",1
"Bad Games",1
"Bad Seed",2
"BadFly Interactive, a.s.",2
Badim,1
"Badland Development Studio",1
"Badland Studio",1
"Baggy Cat Ltd",1
"baKno Games",1
"Bakufu Narayama",3
"Balcony Team",1
"Baller Industries",2
"Ballistic Frogs",1
"Baltic Dragon",1
"Band "????"",1
"BANDAI NAMCO Entertainment Inc.",1
"BANDAI NAMCO Studio & SHIFT",1
"BANDAI NAMCO Studio Inc.",11
"BANDAI NAMCO Studios Inc.",4
Bandit-1,1
"Bane Games",1
"Bankroll Studios",1
"Barbara Bode",1
"Barbed Wire Studios",1
"Bare Mettle Entertainment",1
"Barkalar Games",3
"Barking Dog Studios",1
"Barnstorm Games",1
"Barnyard Intelligence Games",1
"Baroque Decay",1
"Barry McCabe",2
"Bartosz Bojarowski",1
"Bartosz Zajkowski",1
"Basaltic studio",1
"Basecamp Games",2
"Basilisk Games",4
"Bass Pro Shops",1
"Bat Country Games, LLC",1
"Batholith Entertainment",2
"Battenberg Software",1
"Batterystaple Games",1
"Battlebard Games",1
BattleByte,1
"BattleGoat Studios",4
"Batu Games LLC",1
"BBQ Games",1
"Beam Team Games",1
Beamdog,6
BeamNG,1
"Bearded Eye",1
"Beast Games",2
"Beast Mode Games",2
"Beatnik Games",1
Beatshapers,1
"BeautiFun Games",2
"Beavis Soft",1
"BeDa Games",1
"Bedlam Games",1
"Bedtime Digital Games",2
Beenox,14
Behaviour,3
"Behaviour Interactive",4
"Behold Studios",3
"Behtam Developer",1
"Beldarak Games",1
Belsimtek,2
"Ben 'Yahtzee' Croshaw",2
"Ben Aprigliano",3
"Ben Garney",1
"Ben Hendel-Doying",1
"Ben Lam",1
"Ben Prunty Music",1
"Ben Rawles",2
"Benjamin Bryant",1
"Benjamin Davis",1
"Benjamin Famiglietti",1
"Benjamin Lapid",1
"Benjamin Rivers",1
Bento-Studio,1
"BERNARD Nicolas",3
BernhardM,1
"Bernt Andreas Eide",1
"Berserk Games",11
"Best Gaem Studio",1
"Best Way",5
Bestow,1
BetaDwarf,5
BetaSparkUK,1
"Betelgeuse Zero",1
"Bethesda Game Studios",15
"Bethesda Game Studios®",1
Beti-X,1
"Bevel Studios",2
"Beyond Technical Inc.",1
Beyond-Limits-Games,1
beyondthosehills,1
Biart,1
"Biart Company LLC",5
Bibiki,1
"Big Ant Studios",7
"Big Blaze",1
"Big Boat Interactive",1
"Big Corporation",1
"Big Fat Alien",2
"Big Fat Simulations Inc.",4
"Big Finish Games",2
"Big Fish Games",16
"Big Fish Studios",4
"Big Green Pillow",1
"Big Head Games",1
"Big Huge Games",6
"Big Pixel Studios",1
"Big Red Button Entertainment",1
"Big Robot Ltd",2
"Big Sandwich Games",4
"Big Splash Games, LLC",1
"BigAnt Studios",1
"BigBlaze Games",1
"Bigmoon Studios",2
bignic,1
"bignic - Dolphin Barn",1
Bigosaur,1
"BigScreen, Inc.",1
"Bigzur Games",1
"Bill and Eli Productions",1
"Billy Jazz Hills Stickley",1
"Bimboosoft Co.,Ltd.",1
"Binary Cocoa",1
"Binary Fortress Software",2
"Binary Helix",1
"Binary Takeover",3
"Binary Zoo",1
BinaryDream,2
BioWare,7
"BioWare Corporation",2
"Bird in Sky",1
Bisonia,1
"Bit Blot, LLC",1
"Bit Kid, Inc.",1
"Bit Mass, LLC",1
"Bit Planet Games, LLC",4
BIT-GEN,1
"Bit2Good Ug",2
"Bitbox Ltd.",1
"BitCake Studio",2
"bitComposer Games",1
BitFinity,1
"Bithell Games",4
bitHuffel,1
Bitl,1
"Bitmen Studios",1
"BitMonster, Inc.",2
"Bits & Beasts",1
"BitSits Games",1
"bitSmith Games",2
"Bittersweet Entertainment",1
"Bizarre Creations",2
BL-Logic,1
"Black Cactus",2
"Black Carbon",1
"Black Chicken Studios, inc.",1
"Black Cloud Studios",4
"Black Curtain Studio",1
"Black Death Apps Limited",1
"Black Delta",1
"Black Element",2
"Black Flag Studio",1
"Black Flag Studios",1
"Black Forest Games",6
"Black Golem",1
"Black Isle Studios",1
"Black Jacket Studios",2
"Black Lab Games",1
"Black Lantern Studios",1
"Black Lime Studio",11
"Black Lion Studios",1
"Black Market Games",2
"Black Pants Game Studio",2
"Black Pants Studio",3
"Black Rock Studio",2
"Black Sea Studios Ltd",1
"Black Sheep Games",1
"Black Sheep studio",1
"Black Shell Games",7
"Black Wing Foundation",4
"Blackbird Interactive",3
"Blackcow Studios",1
"Blackfire Games",2
Blackhole,2
"Blacklight Interactive",1
"BlackMark Studio",2
"Blackmill Games",1
"BlackMoon Design",1
BlackMuffin,3
"Blackpowder Games",2
"Blackrose Industries",1
"Blacksea Odyssey",1
"Blake Fix",1
"Blake Garner",1
blamedrop,1
BlankMediaGames,1
BlauwPrint,1
"Blaze Epic",8
"Blazing Badger",2
"Blazing Bit Games",1
"Blazing Fanfish",1
"Blazing Griffin",1
"Blazing Griffin Ltd.",1
Bleank,2
"Blender Foundation",1
"Blender Institute",2
"Blendo Games",7
BlewScreen,1
"Blind Mind Studios",3
"Blind Squirrel Games",1
"BlinkWorks Media",1
"Blit Software",2
"blizzy Games",1
"Blob Games Studio",1
"Bloober Team",1
"Bloober Team SA",4
Bloodirony,1
"Bloodshadow Games",1
"Bloodwolf Studio",1
"Blooming Buds Studio",1
"Blossom Games",1
"Blot Interactive",1
"Blowfish Studios",4
"BluBee Games",1
"Blubox Soft",1
Bludgeonsoft,1
"Blue Bottle Games",2
"Blue Brain Games",1
"Blue Budgie Studios",1
"Blue Byte",33
"Blue Castle Games",1
"Blue Fang",2
"Blue Isle Studios",3
"Blue Label Studio",1
"Blue Mammoth Games",4
"Blue Mana Entertainment",1
"Blue Manchu",1
"Blue Omega Entertainment",1
"Blue Paper Film Works",1
"Blue Tea Games",1
"bluebox interactive",1
"Bluebutton Games",1
BlueByte,11
"BlueEagle Productions",1
"BlueGiant Interactive",5
"Bluehole Ginno Games",6
"Bluehole Inc.",2
"Bluehole Studio",5
"BlueLine Games",10
Bluestrike,1
bluffman,1
"Bluish-Green Productions",1
blurredVision,2
Blyts,1
"BME Digital Studios",1
"Bob the Game Development Bot",1
Bocuma,1
"Bohemia Interactive",31
"Bohemia Interactive Studio",1
Bohfam,2
Boiagames,1
"Bojan Brbora",1
"Bolder Games",1
"Bolt Creative",1
"Bombdog Studios",1
Bombservice,2
"Boncho Games",1
"Boncho Games (made the game)",1
Boneloaf,1
"Bonfire Games",1
"Bongfish GmbH",1
BonusXP,1
Boogygames,2
"Bookmark Games",1
"Boolat Games",1
"Boomzap Entertainment",1
"Boomzap Inc.",1
"Bootsnake Games",1
"Boreal Sun",2
"Boris Blosse",2
"Born Ready Games",1
"Born Ready Games Ltd.",5
"Boss Baddie",3
"Boss Key Productions",1
"Bossa Studios",6
"Bottle Rocket FX",1
"Bouchard Industries",1
BplusGames,2
"Brace Yourself Games",5
"Bradley Elam",1
"Brain and Nerd Ltd",1
"Brain Bombers",1
"Brain Candy",2
"Brain Dead Software",1
"Brain Seal Ltd",1
"Brain Slap Studio",1
"Brainbox Games",1
"Brainbox Software",2
Brainchild,5
BrainDistrict,1
BrainGoodGames,2
