Developer,count(*)
"Glow Games Studio",1
Glowforth,1
"Glowstick Games",1
"GlyphX Games",1
"Gnarled Scar Manipulations",1
"Gnarlynow Entertainment",1
"Gneu LLC",2
"gnifrebel Games UG",1
GNISoft,1
"Gnomic Studios",2
GNTX,1
"Goatee Games",1
"Goblin Portal",1
"Goblinz Studio",1
"Godot Engine",1
"GodSpeed Games",1
Gogii,3
"Gogii Games",26
Gogiii,1
"Going Loud Studios",1
Gojira,2
"Golden Gear Games",1
"Golden Ruby Games",1
"Goldhawk Interactive",1
GolemLabs,2
"Golgoth Studio",2
"GoManga Interactive",1
"Gone North Games",2
"Gone Off Deep",1
"Gone Off Deep Productions",2
"Gonzo Games",1
"Good Day Games",1
"Good Games",3
"Good Morning, Commander",2
GoodVole,2
Google,1
gord10,1
GorePixelGames[Alias],1
"Gothic Labs",1
"GrabTheGames Studios",6
"Gracious Films Ltd",1
"Grandpa Pixel",1
"Grandview Productions",1
GRAOUMF,4
"grapefrukt games",1
gravdev,1
Graveck,2
GraveFan,1
Graviteam,12
"Gravity Games UG (haftungsbeschränkt)",1
"Gravity Interactive",5
"Gravity Interactive, Inc.",1
"Gravity, Inc.",5
"Gravvit Ltd",19
"Gray Matter Studios",2
"Great Cogs",1
"Great Northerner",3
"Great War Team",16
"Green Lava Studios",5
"Green Sauce Games",1
"Greenflame Digital",1
"Greenheart Games",1
"Greeny Games Studio",1
"Gregor Pani?",1
"Gregory Avery-Weir",2
"Gremlin Interactive",7
GrendelGames,2
"Grey Alien Games",2
"Grey Dog Software",5
"Grey Wolf Entertainment",1
"GreyLight Entertainment",1
"Gridlock Interactive",1
"Grimlore Games",1
"Grimm Bros, LLC",1
GRIN,3
"Grinding Gear Games",1
Grindstone,1
"GRIP Digital s.r.o.",1
"Grip Games",4
GrisGris,1
"Grizzly Wolf Games LLC",1
Gromada,2
"Ground Shatter",2
"Ground Up Games Pty Ltd ®",1
"Grundislav Games",2
Grynsoft,2
"Grzegorz Slazinski",2
"GSC Game World",14
"GTE Entertainment",1
GTGD,4
"Guard Crush Games",2
"Guerrilla Bandit",1
"GuGames DEV",1
"GuGames Development",1
Gugila,1
GuidiGermano,1
"Guilherme Nunes Barbosa",1
"Gun Media",1
Gun.,1
"Gunfire Games",2
"Gunnar Games",6
"Gunnar Games, Inc.",1
"Guru Games",6
"Gustav "Goffa" Söderström",1
"Gustavo Santos",1
"Guy Godin",1
"Guys From Andromeda LLC",1
Gyrowolf,1
"HA Studio ltd.",1
"Haemimont Games",48
"Haggard Games",2
"Hailstorm Games",2
"Hajime Doujin Circle",2
Halfbus,1
Halisson,3
"Halycon Media",2
"Halycon Media GmbH & Co. KG",1
"Hammer Glass Studio",2
"Hammer Labs",4
"Hammerfall Publishing",2
"Hammerpoint Interactive",1
"Hammerspace Games",1
"Hammerware, s.r.o.",1
hamstercube,1
Hanabira,2
"Hanaji Games",1
"Hanako Games",6
"HANBITSOFT, INC.",1
"Handelabra Games Inc.",12
"HandMade Game",3
"Handsome Dragon Games",2
"Handsome Games",1
HandyGames,1
"Handyman Studios",2
"Hanmaru Soft",1
"Hapa Games",1
"Happion Labs",1
"Happy Polygon",1
"Happy Tuesday",1
HappyGiant,1
"Hardsuit Labs",1
"Harebrained Schemes",5
"Harmonix Music Systems, Inc",2
Harotobira,1
"Harrison Walters",1
"Harry Lee",1
"Haruneko Entertainment",2
"Harvester Games",5
"Hashbang Games",1
"Hassey Enterprises, Inc.",6
"Hato Moa",1
"Have Another Cherry",3
"Havishamone Games",2
"Hazardous Software Inc.",2
"Haze Games",1
"HB Studios",4
"HCP Games",2
"HE SAW",1
"Headfirst Productions",1
"Headless Wizard",2
"Headtrip Games llc",1
"Headup Games",11
"Headup Games / Crenetic",1
"Headup Games / Radon Labs",1
"Heart Machine",2
"Heart Shaped Games LLC",2
"Heartbit Interactive",3
"Hearthfire Studios",1
Heartomics,2
"Heathen Engineering",1
"Heavy Iron Studios",3
"Heliocentric Studios",1
"Hellbent Games",1
"HellconX™ Games",3
"Hello Games",3
"Hello There AB",2
"Hellscape Games",1
"Helsinki Noir",1
"Heluo Studio",1
"Hemisphere Games",2
"Henchman & Goon",2
"Hendrik Felix Pohl",1
"Henrique Pegacha",1
"Her Interactive",28
"Her Interactive, Inc.",2
"Here Be Dragonz",1
"Hermitworks Entertainment ",1
HeroCraft,1
"HeroCraft Krasnodar",1
"Herrero Games",2
"Hesketh Studios",2
"Heuristic Park",1
"Hex Entertainment",3
"Hex Keep",1
Hexage,3
"Hexdragonal Games",1
"HexWar Games",3
"Heydeck Games",1
"HFM Games",1
HGames-ArtWorks,1
"Hi-Rez Studios",6
"Hidden Hallow Studio",1
"Hidden Path Entertainment",12
"Hidden Path Entertainment, Ensemble Studios",2
"Hidden Path Entertainment, Inc.",1
"HiFi Technologies",1
"High Horse Entertainment",1
"High Impact Games",1
"High Moon Studios",3
"High Tale Studios",1
"High Voltage Software",4
"Highcastle Studios",1
"Highcliffe Media Publishing",1
"Himalaya Studios",3
"Hinterland Studio Inc.",1
"Hip Games",2
"Hip Soft",4
"Hipix Studio",3
Hippomancer,2
"Historia Films",1
"Hit the Crow",1
"Hitbox Team",2
Hitcents,4
"HKFiftyOne Games",1
Hobbisoft,1
"Holden Boyles",2
"Holgersson Entertainment",2
"Holotech Studios",22
"Holy Priest",1
"Holy Warp",4
"Homa Design",1
"Home Groan Games",1
"Home, James The Movie, LLC",1
"Homegrown Games",3
"Homemade Games",1
homph,2
Honeyslug,1
"Honor Code, Inc.",1
Hoobalugalar_X,1
"Hooligans Entertainment",1
"Hoplite Research LLC",1
"Hoplon Infotainment",1
"Hopoo Games, LLC",2
"Hörberg Productions",2
"HORN & IVRY",1
"Hosted Games",18
"Hot Cross Games",1
"Hot Lava",1
"Hothead Games",9
"Hothouse Creations Ltd",1
Hourences,1
"House House",1
"House of Fables",1
"House of Tales",4
"House On Fire",1
Housemarque,2
"HRG (Heirs of Rube Goldberg)",1
Huebotics,1
"Human Head Studios",2
"Human Punch Bowl, LLC",1
"Humble Hearts LLC",1
"Humongous Entertainment",36
"Hungry Planet Games",1
HuniePot,5
"Hunted Cow Studios",4
"Hunter Gatherer Games",1
"Hunter Hamster",1
"Hunter Studio",1
"Husky Swim Team",1
"Hut 90",1
"Huy Phan",2
"Hybriona Labs",2
"Hyde Games",1
Hydezeke,2
"Hydrant Games",2
"Hydravision Entertainment",3
"Hydro Games",1
"Hyein Go",11
"Hyper Hippo Games",6
"Hyper Hippo Productions Ltd.",2
"HyperBerry Games",1
"Hypercane Studios",1
"HyperDrive Games",1
"HyperKat Games",3
Hypersect,1
HyperSloth,2
Hyptosis,1
HYPYRYL,1
"I Fight Bears",1
"I Sioux Game Productions B.V.",4
"I-deal Games",1
I-Game-Art,1
I-Illusions,2
"i273 LLC",2
"Ian Campbell",1
"Ian Isaro",1
"Ian MacLarty",1
"Ian Snyder",1
Ibology,1
"Icarus Development Team",2
"Icarus Games",3
"ICE Entertainment",5
"Ice Shovel Soft",1
"Ice Water Games",3
"Ice-pick Lodge",5
"Iced Lizard Games",2
"Iceflake Studios",3
"IceGames Studios",1
"Icehole Games",3
"Icetesy SPRL",1
"iconical Ltd.",1
"Icy Donut",1
"Icy Studios",1
"id Software",23
"Idea Factory",77
"Idea Factory, Inc.",10
"Ideas Pad",2
"Ideum, Inc.",3
"IDHAS Studios",2
Idigicon,3
"Idol FX",1
"iEntertainment Network",2
"iEntertainment Network Inc",1
"IF Games",1
"iFun4all Ltd.",2
"Ignatus Zuk and Gonzalo Villagomez",1
Ignishot,2
"Ignition Games Inc.",1
Igrodelsky,1
Igry.ru,1
"Iguana Entertainment",1
"IIchan Eroge Team",1
"IKEA Communications AB",1
"ILIKESCIFI Games",2
IllFonic,3
"Illuminated Games",2
ILLUSIONETWORK,1
IllusoryWorldEntertainment,1
"Illwinter Game Design",4
"Imaekgames [Imaek Limited]",1
"Image Space Incorporated",6
Image&Form,2
Imagimotion,1
"Imaginary Monsters",1
"Imagination Vent, LLC",1
ImagineEngline,1
Imagitech,2
"Imagos Films LLC",1
IMakeGames,1
iMaxGen,2
"Imba Entertainment",4
"Imbanova Entertainment Inc.",1
"IMC GAMES CO.,LTD.",1
"IMCGAMES Co.,Ltd.",5
IMGN.PRO,2
"Imigea Ltd",2
"Immersed Games",1
immersionFX,1
"Immersive Douro",1
"Immersive Entertainment, Inc.",1
"Immersive VR Education Ltd.",2
imminentuprising,1
"Immortal Game Studio",1
"Immunity Studios",1
"Imperia Online LTD",1
"IMPERIAL MUSIC GROUP",1
"Impressions Games",4
"Impromptu Games",1
"Inane Games",1
"Incandescent Games",2
"Incandescent Imaging",3
"Inception Soft",1
"Incinerator Studios",1
Incodra,1
"increpare games",2
IndeePop,1
"Independent Arts Software",3
"Independent Programmist Group",1
"Indie Rights",2
"Indie Stone Studios",2
IndieKeep,1
indiemaatheus,1
Indievision,1
"Indimo Labs LLC",1
"Individual Software",23
"Indomitus Games",3
"Industry Games",1
"Inertia Game Studios",1
"Infamous Quests",3
"Inferno Studio",1
"Infinitap Games",1
"Infinite Dreams sp. z o.o",2
"Infinite Interactive",6
"Infinite Monkeys Entertainment Ltd.",1
"Infinity Plus 2",1
"Infinity Ward",70
Influenzo,1
"Infogames Europe SA",1
Infogrames,2
"Infogrames Entertainment SA",1
"Infotread, LLC",2
InImages,3
initials,2
"Ink Stains Games",3
"iNK Stories",1
"inkle Ltd",3
"Inmatrix LTD",2
"inner seas",8
"Inner Void",1
"Innerspace VR",1
"Innervision Games",1
"Innocent Grey",1
InnoGlow,2
"Innomen Productions",2
Ino-Co,1
"Ino-Co Plus",15
InoCo,2
Insane,1
"Insane Dreamers",1
insayn,1
InsGames,8
"INSIDE SYSTEM",2
"Insomniac Games",1
Insomniacs,1
"Instant Kingdom",1
"Instinct Games",2
"Insurgency Development Team",1
"Interabang Entertainment",2
"InterAction studios",11
"Interactive Binary Illusions",1
"Interama - Interactive Technology",1
"Interbellum team",2
"Interceptor Entertainment",7
"Interdimensional Games Inc",2
INTERMARUM,1
"Internal Games",1
"International Games System, Co., LTD.",1
Interplay,4
"Interplay Entertainment",1
"Interplay Entertainment Corp.",3
"Interplay Inc.",1
"InterWave Studios",3
"INTI CREATES CO., LTD.",4
"Intoxicate Studios",4
"Intravenous Software",1
"Intropy Games",1
"Introversion Software",10
"Inu to Neko",1
"Invent4 Entertainment",4
"INVENTED BY GIRLS, LLC",1
"Inventive Dingo",2
InvertMouse,17
"Investigate North",1
"Invictus Games Ltd.",1
"Invoker Studios",1
INVRSE,1
"inXile Entertainment",11
"inXile Entertainment, inc.",1
"IO Entertainment",5
"IO Interactive",27
Io-Interactive,2
IObit,2
"Iocaine Studios",3
"Ion Storm",4
ioneo,1
IonFX,2
"Ionising Software",1
"Ionized Games",1
iosoftware,2
IPACS,4
"iPi Soft ",3
iRacing,1
"iRacing.com Motorsport Simulations",1
"Iridium Studios",4
"Iris Flight Simulation Software",1
"IRIS VR Inc",1
"Iron Bit",1
"Iron Galaxy Studios",3
"Iron Galaxy Studios, LLC",1
"Iron Lore Entertainment",3
"Iron Tower Studio",2
"Ironclad Games",6
"Ironcode Gaming",2
"IronDrop Studios",1
"Irongames Studio",1
"Ironhide Game Studio",1
"Ironsun Studios",2
Ironward,3
"Irrational Games",10
"Irresponsible Games",1
"irritatingFLY studio",2
"Is Future Bright",1
"Isaac Cohen",1
"Isaac Nichols",2
"Isaac Schankler",1
"Isak J Martinsson",1
"Iskander Aminov",1
"Isotope 244",1
ISOTX,8
"isTom Games Kft.",2
"it Matters Games",1
"Italic Pig",1
"Itanimulli Games",2
"Iteration 11",4
"Ithaqua Labs",1
"Itsfine Games",1
"IV Productions",2
"Ivan Zanotti's MyMadness Works",1
"Ivanovich Games",3
"Ivory Tower in collaboration with Ubisoft Reflections",3
"Ivy Games",2
"Ivy Games LLC",2
iWin,8
"J. Fletcher",2
"J. King-Spooner",1
"Jace Masula",1
"Jack Dolabany",1
"Jack Fay",1
"Jack Hanley",2
"Jackbox Games, Inc.",14
"Jackson Clarke",1
"Jae Lee",1
"Jae Lee Productions",2
Jagex,5
"Jagex Limited",2
"Jake Huhman",1
"Jake Kaufman",1
"Jake Olson",1
"Jakub Marsza?kowski",1
"JAM Productions",2
"James Bennett",1
"James de Silva",1
"James Dean",1
"James Id",1
"James Mearman",1
"James Smith",1
JAMgames,1
"Jan Zizka",3
"Jane Rachel Whittaker",3
Jarbit,1
"Jardel Elias",2
"Jarhead Games",1
"Jarrah Technology",1
"Jason Carter",1
"Jason Free",1
"Jason Oda",1
"Jason Perry",1
"Jason Rohrer",3
"Jason RT Bond",1
"Jasper Byrne",2
"Jaunt Inc.",1
"JAVELIN OÜ",2
"Javier Díaz Ríos",1
Jay-Run,1
Jayanam,1
Jaybot7,2
"Jaywalkers Interactive",1
Jazzsticks,1
"JC2-MP Team",1
"JCR Soft Co., Ltd",6
"JDB Artist",2
JDM4iK,2
"JE Software",1
"Jean-Baptiste Simillon",1
"JED GAMES",7
"Jeff Trier",1
"Jeffrey Nordin",1
Jellyvision,1
jemchicomac,1
Jemy,1
Jenito,1
"Jeremy Lee",1
"Jeroen van Oosten",4
"Jeroen Wimmers",1
"Jerome Bodin",1
"Jerseyware Gaming",1
"Jesper The End",1
"Jesper van den Ende",1
"Jesse Barksdale",1
"Jesse Gallagher",1
"Jesse Makkonen",2
"Jet Set Games",3
"Jet Stone Studios",1
JetCatGames,1
"Jetdogs Studios",12
JetPackGone,2
"JForce Games",1
JH12world,1
Jigxor,1
"Jim Cook",1
"Jim Fay",1
"Jim Guthrie",1
"Jimbob Games",1
"Jimmy Maidens",1
JIW-Games,1
"JJ Castillo",1
"JK Soft",1
"JMJ Interactive",1
"Joakim Sandberg",2
"Jochen Mistiaen",1
"Jochen Terstiege",1
"Joe Richardson",2
"Joe Williams",1
"Joel Corelitz",1
"Joel Forssell",1
"Joel Steudler",7
"Johan Aronsson",1
"Johan Pretorius",1
"Johannes Eski",1
"Johannes Gotlén",1
"Johannes Rosenberg",1
"John Bardinelli",1
"John Cullen",1
"John Kolbek",1
"John Lawrence",1
"John Robert Matz",1
"John Szymanski",4
"John Wizard",7
"Johnny Death Games",2
Joindots,1
"Joint Custody",1
"Joju Games",1
"Jon Harwood Creations LLC",1
"Jon Kerney",1
"Jonah Senzel",1
"Jonas Kyratzes",1
"Jonathan BRASSAUD",2
"Jonathan Mulcahy",1
"Jonathan Öhrström",1
"Jonathan Yandel",1
"Joni Kittaka",1
"Joona Vartiainen",1
"Joppe de Graaf",1
"Jordan Sendar",1
"Jordan Taylor",1
"Jörg Winterstein",1
"Jorge Lima",1
"Josh Stoker",1
"Joshua Marks",1
"Joshua Missile",1
"Joshua Neurnberger",1
Joshyy,1
JosPlays,3
"Jötunn Games",2
JoWooD,1
"JoWooD Vienna",1
"JoyBits, LTD",2
Joycity,9
JoyMasher,6
JRollon,1
"Jsmael Stieger",2
"JUDOBABY INC.",2
"Juggernaut Games",2
Jugilus,2
"Juicy Beast",1
"Juicy Beast Studio",1
"Jujubee S.A.",2
"Jukio Kallio",1
"Julia Games",1
"Julian Glander",1
"Julian J. Hammerstein",1
Jumb-O-Fun,1
"JumpCore Productions",1
"Jumping Llamas",1
"JumpStart Games, Inc.",1
"Junction Point",1
"Jundroo, LLC",2
"Juniper Games",1
"Jurgen Hoogeboom",1
"Juri Schupilo",2
Jurlo,2
"Jussi Kukkonen",10
"Just A Pixel Ltd.",1
"Just Add Water (Developments), Ltd.",4
"Just Flight",6
"Just Trains",3
"Just1337 Studio",2
"Justin Moravetz",1
"Justin Nordin",1
JustPlayNow,1
JustTrains,1
"K Monkey",1
"K-D Lab",3
KADOKAWA,11
"KADOKAWA DWANGO CORPORATION",3
"KADOKAWA GAMES / GRASSHOPPER MANUFACTURE",1
Kaiko,1
"Kairi Sawler",2
"Kairos Productions",1
"Kajak Games",1
"Kalani Games, Inc.",1
KaleidoGames,1
"Kamil Szczepanik",1
"Kaos Studios",5
"Kardfy Studios",1
KarjaSoft,2
"Kasaa Solution",1
"Kastriot Sulejmani",1
"Katakura Hibiki",1
Katapult,1
Katatema,2
Katauri,4
"Katauri Interactive",4
KatGames,1
"Kazakov Oleg",3
KBJGames,1
"KC Flight Shop",1
"kChamp Games",1
"KDV Games",2
"Keen Games",7
"Keen Software House",6
"Keinart Lobre",2
"Keith Ross",2
"Kelkafa Studios",1
"KEMCO / EXE-CREATE",1
"Kennedy Miller Mitchell",1
Kenney,1
"Kenny Meriedeth",1
"Kenny Sun",2
"Kerberos Productions",5
"Kerberos Productions Inc.",19
"Kerim Kumbasar",1
"Kernow Interactive",1
"Ketos Games",1
Kettel,1
"Kevin Carville",1
"Kevin MacLeod",1
"Kevin Nitschmann",1
"Kew McParlane",1
"Key17 Games",2
Keybol,2
"Keys of Nine Entertainment",1
KHB-Soft,2
"Kheops Studio",1
khos85,3
"Kickbomb Entertainment LLC",1
Kidalang,3
Kiddy,1
"Kids up hill",1
"Kieffer Bros.",1
"Kiemura Ltd",1
"Kihon Inc.",4
"Kikiwik Games",1
"Killer Lobster",1
"Killer Teapot Games",1
"Killerfish Games",1
"KillHouse Games",2
"Killjoy Games",1
"Killmonday Games HB",3
"Killspace Entertainment",1
"Kilted Camel",1
"Kimeric Labs",1
"Kimmo Lahtinen",1
"Kinahmi Games",1
"Kindermann Corp.",1
"Kinelco & Lone Elk Creative",2
"Kinematic Films",1
"KING Art",8
"KING Art Games",2
"King Crow Studios",2
"Kingdom Games",3
"KinifiGames LLC",1
KintoGames,2
"Kirill Belman",1
"Kirill Chepizhko",1
"Kiritsu Games",1
"Kiro'o Games",2
"Kisareth Studios",3
"KITATUS STUDIOS",1
"Kitfox Games",3
"Kittehface Software",4
KIXEYE,1
"Kiz Studios",4
Klace,1
"Klei Entertainment",19
"Klei Entertainment Inc.",1
"klobit LLC",1
"Klonk Games",2
Kloonigames,2
"KLRU-TV, Austin PBS",1
KnowWonder,1
"Knuckle Cracker",1
"Knut Mueller",1
"KO GmbH",2
"Koalabs Studio",1
Koboldgames,1
"Kobra Studio",1
"Kodots Games",2
KOEI,4
"KOEI TECMO GAMES CO., LTD.",120
KOG,14
"Koga Tech Limited",1
"Kojima Productions",1
Kokakiki,1
"Kokua Games",1
"Komar Games",3
"Konami Digital Entertainment",17
"Konami Digital Entertainment Co., Ltd.",1
"Konec Films",1
"Konrad Burandt",3
Konsordo,3
"Konstantin Koshutin",2
Kosek.com,1
"Kot in Action Creative Artel",4
Kotach,2
"Koya Game",1
"KP games",1
KPy3O,1
"Kraftix Games",2
"Kraken Empire",1
"Kraken Games",4
"KranX Productions",2
Krealit,3
"Krillbite Studio",3
"Kristen Cheely",1
"Krita Foundation",1
"Kritzelkratz 3000",1
"KROBON station",1
"Krome Studios",17
"Kronosaur Productions",2
KrossRails,3
Krutovig,1
"Krystian Majewski",1
"Krzysztof Dycha",1
"KTX Software",5
Kubold,1
Kuchalu,2
Kudosoft,1
Kukouri,1
Kumobius,2
"Kuno Interactive",1
"Kunos Simulazioni",4
"kunst-stoff GmbH",1
Kurechii,2
"KURONEKO SOFT",2
"Kursed Studios",1
"Kurt Lorey",1
"Kut Stupid",2
"Kyle Ballentine",1
"Kyle Pulver",1
"Kyle Seeley",1
"Kyle Weik",2
"Kyler Kelly",1
Kylotonn,1
"Kylotonn Entertainment",3
"Kylotonn Racing Games",5
"Kyy Games",5
"L&K Logic Korea",1
"L3O Interactive",1
"La Moustache Studio",1
"La Vie Productions",1
"Lab Zero Games",9
LAB4242,1
"LabLike Sp. z o.o.",1
Labyrinthine,3
"Lached Up Games",1
"Lacuna Corporation",1
"Lag Studios",3
"Lagun Victor",1
"Lakin McCarthy",1
"Lambkin Productions",1
"Lamina Studios",1
"Laminar Research",7
"Lampert & Sons",1
"Lamplight Studios",2
"Lance Hill",1
"Landfall Games",3
LandMark,1
"Landon Podbielski",1
"Lantana Games",3
"Larian Studios",7
"Laser Destroyer Team",1
"Laser Dog",1
"Laser Guided Games",1
"Laser Guided Games, LLC",1
"Laser Unicorns",1
"Last Day of Work",12
"Last Dimension",2
"Last Life Games",2
"Last Limb",1
"Last Limb LLC",1
"Last Lotus",2
"Laudo Games",1
"Laughing Jackal LTD",3
"Laura Knetzger",1
"Lavaboots Studios",2
"Lawrence Russell",2
"Layer games",2
"Lazy 8 Studios",2
"Lazy Bear Games",2
"Lazy Bum Games",1
"Lazy Games Studio Ltd",1
"Lazy Monday Games",1
"Lazy Turtle Games",2
Lazyproject,1
"LDC Studios",1
"Le Cartel",1
"Le Cortex",1
"Leadwerks Software",9
"Leafy Games",1
"League of Geeks",2
"LearnDistrict Inc.",2
"Leatherneck Simulations",1
"Lee Page",1
"Lee Sang",1
LeeTingChou,1
"Legend Studio",4
Legendary,1
"LeGrudge & Rugged",1
"Leikir Studio",2
"Lemon Moose",1
"Lemondo Entertainment",1
LemonOrange,1
"Lemonsucker Games",1
"Lennie Svensson",1
"Leo Black",1
"Leonard Menchiari",1
"Leslaw Sliwko",2
"Lesley Dodd",1
"Leslie Valverde",2
"Lesta Studio",5
"Lesta Studios Inc",1
"Level Eight AB",1
"Level Up Labs, LLC",2
"Leveled Games",1
"Levels or Lives",1
"Lewis Bergin",1
"Lexis Numerique",1
"LGK Games",3
"Liam Davis",1
Liar-soft,3
"Liber Primus Games",1
Licorice,2
Liens,2
"LifeSpark Entertainment",2
LigaGamesStudio,1
"Light Echo",1
"Light Step Games",1
"Light Vision Interactive",4
"Lightbulb Crew",5
Lighthouse,1
"Lighthouse Games Studio",1
"Lightmare Studio",2
"Lightmare Studios",1
"Lightning Man Media",1
"Lightning Rock",1
LightsoutGames,1
"Limasse Five",1
"Limbic Entertainment",1
"Limbic Entertainment GmbH",1
"Limbic Entertainment GmhH",1
"Liminal Games",1
"Lince Works",1
"Linden Lab",1
"Lindsay Jorgensen",1
"Linked Dimensions",1
"Linksolutions Ltd.",2
"Lino Slahuschek",2
LInsoDeTeh,1
"Lion Game Lion",4
"Lion's Shade",2
"Lionhead Studios",5
"Lionheart Creations",4
Lionsgate,77
LionSword,1
"Liquid Dragon Studios",1
"Liquid Entertainment",2
"Liquid Flower",2
"Little Big Lee",1
"Little Cloud Games",2
"Little Freedom Factory",2
"Little Games Company",1
"Little Green Man Games",3
"Little Green Men Games",5
"Little Star Media Inc.",1
"Little Worlds Interactive",1
"Little Worlds Studio",1
littleGigantic,1
Littlewitch,1
"LiveItGames LLC",1
"Lively Ivy",1
Lizsoft,2
LKA,2
"Llamasoft LTD",2
"LLC Anngames",3
"Lo-Fi Games",1
"Loading Home",1
"Locked Door Puzzle",3
Locomotivah,3
"Logic Artists",2
"Logic tree",1
"Lohika Games",2
"Loiste Interactive",2
lolznoob,1
"Lone Hero Studios",1
"Lone Wolf Games",1
"Lonely Troops",10
LonePlanetStudios,1
"Long Division LLC",1
"Longbow Games",6
LookAtMyGame,1
LookAtMyGames,1
"Looking Glass Studios",5
"Loomus Games",1
Loopmasters,10
"Lord Bytesworth",1
"Lord Eglathia",1
"Lord Kres",3
"Lord Puggington Games",1
"Loren Bednar",1
"Loren Lemcke",1
"Lost Astronaut Studios",1
"Lost Decade Games",2
"Lost Spell",1
Lostwood,2
"Loudpak Studios",1
"Love Conquers All Games",4
"Love in Space",5
"LRDGames, Inc.",2
"Luandun Games Pte. Ltd.",1
Lubiterum,1
"Luc Bernard",1
"Luc Bernard & SilverSphereStudios",1
"Lucas Dieguez",1
"Lucas Molina",2
"Lucas Parise",1
"Lucas Pope and Keiko Ishizaka",1
"Lucas Wilde",1
LucasArts,15
Lucasfim,1
LucasGame,1
"Lucid Games",1
"Lucid Games Ltd",2
"Lucid Sight, Inc.",2
"Lucidity Productions",1
"Lucky Brograms",1
"Lucky Frame",3
"LUCKY GIRLS LIMITED",1
"Lucky Pause",1
"Lucky You Studio",2
"Ludeme Games",1
Ludochip,1
"LudoCraft Ltd.",1
"Ludomo Gamestudio",1
Ludomotion,1
Ludosity,8
"Ludosity Interactive",1
"Ludvig Larsson",1
"LuGus Studios",2
"Luigi Di Guida",1
"Luis Daniel Vázquez Mártinez",1
"Luis Diaz",1
"Luis Ruiz",1
"Luka Nieto",1
"Lukas Jaeckel",1
"Lukas Navratil",1
"Luke Brown",1
"Luke Godfrey",1
"Luke Haney",1
"Luke Thomas",1
"Lukewarm Media",10
"Luma Arcade",1
"Luma Films",1
"Lumenox ehf",2
"Luminis Picturae",1
"Luminy Studios",1
Lunagames,3
"Lunar Giant",3
"Lunar Labs",1
"Lunar Ray Games",1
Lunatoid,1
Lupiesoft,2
LWNA,1
"M. Hanka",1
"M. Yuriy",4
m07games,1
M2,2
"M2 Co.,LTD",3
M2H,3
"Machine 22",4
"Machine Bear® Software e Games",1
"Machine Games",1
MachineGames,1
Machineman1357,1
MachineSpirit,1
"Maciej Targoni",2
"Mack Media",1
"MacKenzie Kaser",1
"Mad Anth'm Productions",1
"Mad Goblin Games",1
"Mad Head Games",1
"Mad Orange",1
"Mad Otter Games",15
"Mad Ram Software",1
"Mad Vulture Games",1
"Maddox Games",2
"Made With Monster Love",1
"MADia Entertainment",3
"Madlab Software",1
"MadMan Theory Games",2
"Madruga Works",1
"MAG Studios",1
"Magenta Factory",2
MAGES.,3
"Maggie McLean",1
"Magic Indie",2
"Magic Notion",1
"Magic Pants",1
"Magic Wand",1
"Magical Hackers",1
MagicalTimeBean,3
MagicIndie,6
MAGICS,4
"Magiko Gaming",2
"MAGIX Software GmbH",23
"Magnetic Realms",3
magnussoft,1
"MAIET Entertainment",1
"Mail.ru Games",5
"Maithonis Studios",1
"Major Games",1
"Makivision Games",4
"Malfador Machinations",2
mamoniem,1
"Mana Games",3
Mandlebar,2
"Mando productions",2
Mandragora,2
"Mango Protocol",2
"Manic Game Studios",2
"Manifesto Game Studio",1
"Mannequin Games LLC",1
"Mannu Pach",1
"Mantis Games",1
"Manuel Stieger",2
Manyland,1
marbenx,1
"Marc Ellis",1
"Marcelo Barbosa",1
"March Entertainment",1
"Marco Hulden",1
"Marco Tancredi",1
"Marcos Arroyo",13
"Marcus Nichols",1
"Marie Ronnaux Games",1
"Mario von Rickenbach",2
"Mark Chong",1
"Mark Golden",1
"Mark Healey",2
"Mark Schramm",1
"Marko Silvasvuori",1
"Markus Döbele",1
"Markus Fick",1
"Marmalade Game Studio",2
"Marmalade Game Studio Ltd",1
"Marmoset LLC",2
"Marshall Van Dutton Media",1
"Marsnaut Films",1
"Mårten Jonsson",5
"Martin Cerdeira",1
"Martin Ivanov",1
"Martin Pilaszek",1
"Martin Pilazsek",1
"Martin Porter",1
"Martin Veilleux",2
"Maruf ARTUKO?LU",1
Marxnet,1
"Masangsoft, Inc.",2
Maschinen-Mensch,2
"Mascot Entertainment",1
"Mason Lindroth",1
"Massive Damage, Inc.",1
"Massive Entertainment",11
"Massive Game",1
"Master Creating",1
"Master Technologies",1
"Masthead Studios Ltd",5
Mastiff,1
"Math Nerd Productions, LLC",1
"Mathieu Lamarche",2
"Matrix Games",1
"Matt Edzenga",2
"Matt Gadient",2
"Matt Grimm",2
"Matt Kap",1
"Matt Roszak",2
"Matt Thorson",2
"Matteo Cillario",1
"Matteo Gonano",1
"Matterhorn Software LTD",1
"Matthew Brown",6
"Matthew Coyle",1
"Matthew Ritter",2
"Matthew Robinson",1
"Matthew Sanders",1
"Matvey Sakharovskiy",1
"Maurice Pape",1
"Maus Software",1
"Max Gaming Technologies, LLC",1
"Max LL",1
"Max Peskov",1
"Maxim Moore",1
"Maximum Games",1
Maxis™,2
"Maya Gameworks",1
"Mayhem Games USA",2
"MCDERMOTT TECHNOLOGY, L.L.C",1
"McMagic Productions",2
MDKSound,1
"MDNA Games",3
"Mechabit Ltd",2
