Year(Release_Date),Genre,Developer,count(*)
2008,Racing,"CINEMAX, s.r.o.",1
2008,Racing,"Codemasters Studios",1
2008,Racing,"EA Black Box",1
2008,Racing,Eipix,1
2008,Racing,Merscom,1
2008,Racing,Nadeo,2
2008,Racing,Redlynx,2
2008,Racing,"Rockstar San Diego",1
2008,Racing,"SCS Software",1
2008,Racing,SimBin,5
2008,Racing,Techland,1
2008,RPG,"Ascaron Entertainment ltd.",1
2008,RPG,"Bethesda Game Studios",1
2008,RPG,BioWare,1
2008,RPG,"CD PROJEKT RED",1
2008,RPG,Frogwares,1
2008,RPG,"Gas Powered Games",1
2008,RPG,"GSC Game World",1
2008,RPG,"Hothead Games",4
2008,RPG,"Momentum Digital Media Technologies",1
2008,RPG,"Monte Cristo",1
2008,RPG,"Soldak Entertainment",1
2008,RPG,"Spiderweb Software",1
2008,RPG,"Tale Worlds",2
2008,RPG,"TaleWorlds Entertainment",2
2008,RPG,"Tilted Mill Entertainment, Inc.",1
2008,Simulation,"1C: Maddox Games",2
2008,Simulation,"Aspyr (Mac)",1
2008,Simulation,"Buka Entertainment",1
2008,Simulation,Egosoft,1
2008,Simulation,Frontier,1
2008,Simulation,"Gabriel Entertainment",1
2008,Simulation,"Haemimont Games",1
2008,Simulation,"Last Day of Work",10
2008,Simulation,"Lesta Studio",3
2008,Simulation,Maxis™,3
2008,Simulation,"Monte Cristo",1
2008,Simulation,"Out of the Park Developments",1
2008,Simulation,"Tilted Mill Entertainment, Inc.",3
2008,Simulation,Ubisoft,6
2008,Simulation,"Ubisoft Romania",2
2008,Sports,Eurocom,1
2008,Sports,"Magic Wand",1
2008,Sports,"Out of the Park Developments",1
2008,Sports,"Perpetual FX Creative",1
2008,Sports,Redlynx,2
2008,Strategy,"Aspyr (Mac)",1
2008,Strategy,"Blue Byte",2
2008,Strategy,"Buka Entertainment",1
2008,Strategy,"EA Los Angeles",1
2008,Strategy,Egosoft,1
2008,Strategy,Empires,2
2008,Strategy,"Fakt Software",6
2008,Strategy,"Firaxis Games",2
2008,Strategy,Frontier,1
2008,Strategy,Gamebryo,1
2008,Strategy,"Games Faction",2
2008,Strategy,"Haemimont Games",1
2008,Strategy,"Hermitworks Entertainment ",2
2008,Strategy,"Hidden Path Entertainment",1
2008,Strategy,"Lesta Studio",3
2008,Strategy,"Massive Entertainment",1
2008,Strategy,"MicroProse Software, Inc",4
2008,Strategy,"Monte Cristo",1
2008,Strategy,Moonpod,4
2008,Strategy,Nival,6
2008,Strategy,"Paradox Development Studio",1
2008,Strategy,"PopCap Games, Inc.",1
2008,Strategy,"Relic Entertainment",4
2008,Strategy,"SCS Software",1
2008,Strategy,"Soldak Entertainment",1
2008,Strategy,"Spiderweb Software",1
2008,Strategy,"Tilted Mill Entertainment, Inc.",5
2008,Strategy,"Ubisoft Blue Byte Studio",2
2008,Strategy,"Virtual Playground",1
2009,Action,"1C Company",1
2009,Action,1C-SoftClub,1
2009,Action,3000AD,6
2009,Action,"8monkey Labs",2
2009,Action,"ACE Team",2
2009,Action,"Artech Studios",1
2009,Action,"Asobo Studio SARL",1
2009,Action,"Aspyr (Mac)",6
2009,Action,"Aspyr Studios",2
2009,Action,"BioWare Corporation",1
2009,Action,"Black Jacket Studios",2
2009,Action,"Blue Omega Entertainment",1
2009,Action,"Bohemia Interactive",4
2009,Action,Capcom,6
2009,Action,"CD Projekt RED  ",1
2009,Action,"Citeremis Inc.",1
2009,Action,"City Interactive",1
2009,Action,"Codemasters Studios",2
2009,Action,Croteam,2
2009,Action,"Darkest Hour Team",1
2009,Action,"Darklight Games",1
2009,Action,"Deadline Games",3
2009,Action,"Defence Alliance Team",1
2009,Action,"Dejobaan Games, LLC",1
2009,Action,DICE,3
2009,Action,DiezelPower,2
2009,Action,"Digital Extremes",1
2009,Action,"DnS Development",4
2009,Action,"Dream Forge Entertainment, LLC",1
2009,Action,"Dystopia Team",2
2009,Action,"EA - Maxis",1
2009,Action,"EA Los Angeles",1
2009,Action,"EA Redwood Shores",1
2009,Action,"Eidos Studio Hungary",2
2009,Action,Elecorn,2
2009,Action,"Epic Games, Inc.",1
2009,Action,"ES Team",1
2009,Action,"Frictional Games",3
2009,Action,FromSoftware,2
2009,Action,Frozenbyte,3
2009,Action,Futuremark,1
2009,Action,"Gearbox Software",2
2009,Action,GRIN,2
2009,Action,"Haggard Games",2
2009,Action,"Her Interactive",1
2009,Action,"Homegrown Games",2
2009,Action,"Ice-pick Lodge",1
2009,Action,"Infinity Ward",2
2009,Action,"inXile Entertainment",1
2009,Action,"IO Interactive",3
2009,Action,"Konstantin Koshutin",2
2009,Action,"Krome Studios",2
2009,Action,LucasArts,12
2009,Action,"Makivision Games",2
2009,Action,"Master Creating",1
2009,Action,"Mindware Studios",1
2009,Action,Monolith,2
2009,Action,"Monolith Productions, Inc.",1
2009,Action,Nimblebit,1
2009,Action,"Nimbly Games",2
2009,Action,"Nordic Games",2
2009,Action,NovaLogic,11
2009,Action,"Paleo Entertainment",1
2009,Action,"Pandemic Studios",2
2009,Action,Phenomic,2
2009,Action,"Piranha – Bytes",1
2009,Action,"Planet Moon Studios",2
2009,Action,"PopCap Games, Inc.",2
2009,Action,"Puny Human",2
2009,Action,"Radical Entertainment",1
2009,Action,"Rake in Grass",3
2009,Action,"Raven Software",4
2009,Action,"Reactor Zero",2
2009,Action,"Realmforge Studios",1
2009,Action,Rebellion,3
2009,Action,"Replay Studios",2
2009,Action,"Ritual Entertainment",1
2009,Action,"Rocksteady Studios",1
2009,Action,"RTL interactive",1
2009,Action,"Saber Interactive",1
2009,Action,"Sakari Indie",1
2009,Action,"Shiny Entertainment",2
2009,Action,"Sigma Team Inc.",14
2009,Action,"SkyFallen Entertainment",1
2009,Action,"Smashball Labs LLC",1
2009,Action,Spellbound,1
2009,Action,Synetic,1
2009,Action,"Targem Games",2
2009,Action,Techland,2
2009,Action,"Terminal Reality",1
2009,Action,"The Farm 51",2
2009,Action,"TimeGate Studios",1
2009,Action,"Topware Interactive",1
2009,Action,"Traveller's Tales",1
2009,Action,"Tripwire Interactive",2
2009,Action,"Twisted Pixel Games",3
2009,Action,"U.S. Army",1
2009,Action,"Ubisoft Bucharest Studio",1
2009,Action,"Ubisoft Montreal",2
2009,Action,Valve,1
2009,Action,"VIS Interactive",1
2009,Action,Volition,4
2009,Action,"Volition, Inc.",2
2009,Action,"Xatrix Entertainment",1
