year,Genre,N_Developers,N_Publishers,price,rating,Ngames
2013,RPG,150,136,11.745789473684129,72.2254,361
2013,Simulation,136,112,14.123641404805786,70.1081,541
2013,Sports,29,33,12.690273972602746,71.1579,73
2013,Strategy,169,143,8.30570356472787,71.0297,533
2013,Video Production,0,0,0,0,0
2014,Action,917,675,11.100416907932786,68.1502,1727
2014,Adventure,652,503,11.227090606816132,68.6912,1203
2014,Casual,418,309,7.024064960629787,68.3,1016
2014,Early Access,361,329,13.891362530413513,70.125,411
2014,Free to Play,158,133,20.950995475113007,66.5,442
2014,Indie,1161,909,9.3265436893204,69.2601,2060
2014,Massively Multiplayer,87,82,26.192712550607176,73.55,247
2014,Racing,99,83,10.458757396449712,72,169
2014,RPG,406,356,13.608193146417292,70.3058,963
2014,Simulation,364,256,11.844003707136075,71.2,1079
2014,Sports,90,79,12.398304093567242,73.1905,171
2014,Strategy,450,333,11.695263157894592,71.1353,969
2014,Video Production,0,0,0,0,0
2015,Action,1477,1163,8.7735034426896,71.1755,2469
2015,Adventure,1185,879,8.089946323134553,69.7405,1863
2015,Casual,811,611,6.1202244039269145,68.6765,1426
2015,Early Access,522,469,11.954105691056784,71.5111,492
2015,Free to Play,251,205,10.488562231759602,70,466
2015,Indie,2263,1732,7.007724222086953,69.9722,3278
2015,Massively Multiplayer,137,113,15.96506944444436,72.6,288
2015,Racing,125,107,9.62765550239235,73.4737,209
2015,RPG,632,507,9.976076923076768,73.0225,1170
2015,Simulation,613,447,10.829295470884077,70.873,1391
2015,Sports,121,110,12.128483606557316,76.4545,244
2015,Strategy,729,567,10.132133757961615,72.0446,1256
2015,Video Production,0,0,0,0,0
2016,Action,901,712,8.084389610389472,68.8571,1155
2016,Adventure,702,564,7.629786995515575,71.3729,892
2016,Casual,532,414,5.400245566166351,68.4286,733
2016,Early Access,357,326,9.96401812688815,72,331
2016,Free to Play,142,124,10.667499999999999,76.2,204
2016,Indie,1402,1100,6.872390158172078,71.3596,1707
2016,Massively Multiplayer,98,79,15.379640718562856,69,167
2016,Racing,66,63,8.122631578947376,76,114
2016,RPG,375,300,10.105170556552862,74.7353,557
2016,Simulation,393,298,9.465007320644082,73.2857,683
2016,Sports,95,89,9.683356164383568,93,146
2016,Strategy,430,329,8.877322033898196,73.6667,590
2016,Video Production,11,10,36.68,73,19
