years,iso,obesity,individuals,homicide,deppression,n_friends
2013,ID,5.8,14.94,4470.46141706,2.89151048502,154649
2008,IR,20.9,12.02,1958.86489228,5.1841076281700005,148
2009,IR,21.5,13.8,1901.02540749,5.18353527294,1728
2010,IR,22.1,15.9,1811.60481282,5.18624255163,3835
2011,IR,22.7,19,1673.08630309,5.26078439977,5643
2012,IR,23.3,22.73,1687.86872305,5.35108480826,11750
2013,IR,24,29.95,1807.87877104,5.43203065233,13817
2008,IQ,25.9,1,2459.40991585,3.9216976269600003,374
2009,IQ,26.4,1.06,2492.86027425,3.92402740361,3909
2010,IQ,26.9,2.5,2505.33110633,3.92356817676,4360
2011,IQ,27.5,5,2519.77062391,3.95697058094,4515
2012,IQ,28,7.1,2546.18308143,3.99299087573,7137
2013,IQ,28.6,9.2,2574.67512795,4.02641146968,6115
2008,IE,20.4,65.34,42.144653677,4.57607662872,2087
2009,IE,21,67.38,42.4053767993,4.56412260942,24081
2010,IE,21.6,69.85,40.5301550194,4.56263381824,27365
2011,IE,22.2,74.8899729670944,38.5756666999,4.54686962332,36117
2012,IE,22.8,76.919992540097,37.4778756092,4.52757002631,53055
2013,IE,23.4,78.2477,35.4623529099,4.51654431731,38455
2008,IL,23.6,59.39,182.097736309,4.47798257537,1755
2009,IL,23.9,63.12,178.773452006,4.45690639623,23255
2010,IL,24.2,67.5,176.527530287,4.43430149984,34500
2011,IL,24.5,68.8738779907441,175.092808447,4.38546611898,45837
2012,IL,24.8,70.8,169.279440371,4.33387435652,58310
2013,IL,25.1,70.250311945,167.13053686,4.2922256006,46565
2008,IT,17.5,44.53,581.350243781,3.83526716876,6205
2009,IT,17.8,48.83,567.904212761,3.84206816187,93818
2010,IT,18.1,53.68,548.043024333,3.86128850916,159572
2011,IT,18.3,54.3899983018814,536.200856446,3.8591211359699997,190023
2012,IT,18.7,55.829997993283,527.895627019,3.85541940665,266284
2013,IT,19,58.4593,516.767374383,3.85424720997,215762
2008,JM,20,23.6,647.080893621,3.09163902348,1134
2009,JM,20.6,24.3,689.914088344,3.08063565805,12962
2010,JM,21.1,27.67,679.693436269,3.07517758764,17050
2011,JM,21.7,37.438613414848,692.230383274,3.081449917,17784
2012,JM,22.3,33.79,686.83501849,3.08371681004,23368
2013,JM,22.9,37.1,682.954295889,3.09255867786,18918
2008,JP,3,75.4,943.477696099,3.37658373237,12245
2009,JP,3.2,78,915.580417474,3.38918934146,127528
2010,JP,3.3,78.21,892.83700931,3.40238722257,158114
2011,JP,3.5,79.0541135244739,871.900476263,3.4370228501299995,165379
2012,JP,3.6,79.4964,845.66430501,3.47222278911,200406
2013,JP,3.8,88.219428911,823.309117078,3.5088921115500002,127141
2008,JO,30.8,23,219.31293053,3.91690367989,52
2009,JO,31.4,26,223.147043784,3.8970360862899995,795
2010,JO,31.9,27.2,230.211220507,3.87104235925,1351
2011,JO,32.5,34.9,244.079702444,3.8748566379400002,1866
2012,JO,33.1,37,252.944729649,3.8800502835099997,6792
2013,JO,33.7,41.4,262.004812665,3.8798755323100003,12467
2008,KZ,17.1,11,2675.73434821,3.83146472573,719
2009,KZ,17.6,18.2,2454.2956872,3.82843158062,9386
2010,KZ,18,31.6,2279.23492623,3.82192809806,16424
2011,KZ,18.5,50.6,2152.07214053,3.81936750541,25480
2012,KZ,19,53.3156691222464,2018.00432679,3.81081976144,67880
2013,KZ,19.5,63,1894.95804049,3.8160168746100003,95121
2008,KE,4.9,8.67,2990.98998973,4.12971811955,41
2009,KE,5.1,10.04,3063.02140251,4.101681016400001,715
2010,KE,5.4,14,3152.04350005,4.07455109029,793
2011,KE,5.6,28,3263.18921516,4.0607398660000005,1084
2012,KE,5.9,32.1,3362.69614373,4.04834971756,1460
2013,KE,6.2,39,3422.24160733,4.03577536704,1347
2008,KI,40.9,7,3.36941511463,3.51883857493,20
2009,KI,41.6,8.97,3.42631973062,3.5179056929800003,310
2010,KI,42.2,9.07,3.51442916302,3.5161781651900004,357
2011,KI,42.8,10,3.56106184966,3.5076261823,261
2012,KI,43.5,10.7467976841839,3.60091467097,3.50714917325,518
2013,KI,44.1,11.5,3.66149592304,3.49704489293,546
2008,KW,33.5,42,41.3776773084,3.83792273815,185
2009,KW,34,50.8,38.5362647289,3.83456577927,3092
2010,KW,34.6,61.4,38.3046087996,3.83299007793,4863
2011,KW,35.1,65.7690706867398,36.6639126816,3.84401278785,4191
2012,KW,35.6,70.45,36.6092546158,3.8577402049400003,5979
2013,KW,36.2,75.46,36.7359499121,3.8667356079,4317
2008,KG,12.5,15.7,377.920925211,3.4217743659099997,91
2009,KG,13,16,365.213726526,3.41180566966,1075
2010,KG,13.4,16.3,358.683119958,3.3995530928399997,1206
2011,KG,13.9,17.5,349.496190814,3.3925072381000003,1469
2012,KG,14.4,19.8,339.266029382,3.38109720521,3419
2013,KG,14.9,23,329.451593345,3.3777464546899996,6479
2008,LA,3.1,3.55,40.3619364656,3.06930120209,72
2009,LA,3.3,6,41.0250574855,3.0678636359500002,730
2010,LA,3.5,7,41.0171408311,3.06840538555,695
2011,LA,3.8,9,40.7453441581,3.07742905353,657
2012,LA,4.1,10.747676189122,41.3282429644,3.08533786615,1549
2013,LA,4.4,12.5,41.7610699949,3.0937576397699997,1287
2008,LV,21.3,63.41,212.659951521,3.90569431977,1032
2009,LV,21.5,66.84,193.722599897,3.88768539856,11723
2010,LV,21.8,68.42,181.245735136,3.8646727420199998,19877
2011,LV,22.1,69.7499545592245,167.808007623,3.86226218586,29568
2012,LV,22.4,73.1199437663748,159.77926616,3.86352323213,52475
2013,LV,22.7,75.2344,155.460650991,3.8652491364299997,48798
2008,LB,27.7,22.53,134.882335482,4.13910999742,123
2009,LB,28.2,30.14,133.709314578,4.132518435480001,1872
2010,LB,28.7,43.68,135.215085191,4.12682705834,2219
2011,LB,29.2,52,143.264065531,4.1047736763,1973
2012,LB,29.7,61.249785718304,152.372937978,4.08731014166,4304
2013,LB,30.3,70.5,163.167512595,4.06952457332,6009
2008,LS,13.2,3.58,671.303041291,5.9331298938299994,18
2009,LS,13.6,3.72,673.707497879,5.95788006017,179
2010,LS,14.1,3.86,693.711946139,5.97948396631,182
2011,LS,14.5,4.2248,708.454098829,5.97556397186,183
2012,LS,14.9,4.58961762996709,726.610401458,5.97327101676,282
2013,LS,15.3,5,750.459481461,5.973022456270001,301
2008,LR,7.4,0.53,92.2463245805,4.45164893902,4
2009,LR,7.7,2,98.4958837448,4.45320300809,115
2010,LR,8,2.3,101.465099649,4.44984988008,173
2011,LR,8.3,2.5,105.611243322,4.45176145773,272
2012,LR,8.6,2.6,108.512883963,4.4519829401,486
2013,LR,8.9,3.2,111.077490073,4.4544537888499995,415
2008,LY,27.6,9,120.150995742,4.067493825090001,74
2009,LY,28.2,10.8,120.130379184,4.066764812830001,1508
2010,LY,28.8,14,119.110404075,4.071625324779999,1966
2011,LY,29.4,14,119.58737082,4.075450468470001,1444
2013,LY,30.6,16.5,116.09250822,4.09551623804,1669
2008,LT,23.8,55.22,328.250851732,4.65131747979,1602
2009,LT,24.1,59.76,285.348315623,4.633514341960001,16956
2010,LT,24.4,62.12,269.404987987,4.6122006013400005,29645
2011,LT,24.7,63.6399774002179,248.971773102,4.59493258095,38716
2012,LT,25,67.2299893276414,233.834402411,4.58972036733,71867
2013,LT,25.3,68.4529,226.659280678,4.5723605778500005,61144
2008,LU,19.2,82.23,5.65216397104,3.86647517379,582
2009,LU,19.6,87.31,5.61183920029,3.85311305001,5297
2010,LU,20,90.62,5.55788418555,3.8311151061999995,5959
2011,LU,20.4,90.0298585646936,5.57976203268,3.8272502302,5749
2012,LU,20.9,91.9499237417387,5.57703310131,3.8229483147199996,6373
2013,LU,21.3,93.7765,5.67016747951,3.82139689661,5319
2008,MG,3.5,1.65,417.280091486,4.22277076314,104
2009,MG,3.7,1.63,430.160972899,4.21923411908,1082
2010,MG,3.9,1.7,442.702961392,4.21618188566,1375
2011,MG,4.1,1.9,452.649646026,4.21665547457,1727
2012,MG,4.3,2.3,462.086116923,4.22042426673,2801
2013,MG,4.5,3,471.986407736,4.22295655986,3554
2008,MW,4,0.7,427.899864356,3.82774439576,9
2009,MW,4.2,1.07,434.606161683,3.8096442386800002,202
2010,MW,4.4,2.26,442.907923489,3.7977878253000004,222
2011,MW,4.6,3.33,443.313950614,3.80491158367,210
2012,MW,4.8,4.3506,439.083618789,3.82947989666,359
2013,MW,5,5.05,429.987780792,3.83967572894,360
2008,MY,10.9,55.8,628.819285663,3.61555382333,1292
2009,MY,11.5,55.9,626.025385566,3.61871552253,14357
2010,MY,12,56.3,626.518266779,3.6140258285800004,21308
2011,MY,12.6,61,630.361225316,3.63190363525,28752
2012,MY,13.1,65.8,632.433747279,3.66028378848,161233
2013,MY,13.7,57.05751226,628.080820407,3.68235788839,192121
2008,MV,5.2,23.2,3.17438033806,3.5586954667,42
2009,MV,5.5,24.8,3.3929056944,3.5469035805099995,705
2010,MV,5.9,26.53,3.60085386155,3.52780611681,1113
2011,MV,6.3,34,3.6641334917,3.51122941868,692
2012,MV,6.7,38.9301,3.69607387925,3.5036675504,864
2013,MV,7.2,44.1,3.69325975125,3.4968796873000003,1024
2008,ML,5.9,1.57,333.353270317,3.41082272086,11
2009,ML,6.2,1.8,346.861754488,3.40566787042,189
2010,ML,6.5,2,356.601033285,3.4091740534399997,245
2011,ML,6.8,2.2,359.027263494,3.42143314368,423
2012,ML,7.2,2.8,362.601686798,3.43705437732,684
2013,ML,7.5,3.5,371.894676066,3.44597914736,607
2008,MT,26.1,50.08,5.56962733367,3.56782757479,171
2009,MT,26.4,58.86,5.50611922021,3.54849370792,2893
2010,MT,26.8,63,5.3976448983,3.5353601858,5440
2011,MT,27.1,68.0198237885462,5.32015735866,3.5451437343900003,4389
2012,MT,27.5,68.1998742928975,5.27590470024,3.5523328367199998,6220
2013,MT,27.8,68.9138,5.16519098574,3.56449769534,3619
2008,MH,48.4,4.6,3.87626311865,3.42093330066,26
2009,MH,49,5.6,3.94549052847,3.41843829214,238
2010,MH,49.6,7,4.00456671298,3.41867796551,259
2011,MH,50.1,10,4.05828478822,3.41388413709,328
2012,MH,50.7,12.5,4.11118962547,3.4084562928899995,564
2013,MH,51.3,14,4.16363190428,3.40923186154,385
2008,MR,9.5,1.87,68.2578193335,3.48108476609,10
2009,MR,9.9,2.28,70.3467549847,3.4830809919199996,125
2010,MR,10.3,4,72.2698729436,3.47677764232,98
2011,MR,10.6,4.5,73.9523099402,3.48567667712,102
2012,MR,11,5,76.7521274431,3.5006462060300003,165
2013,MR,11.4,6.2,79.1233550092,3.51390962757,75
2008,MU,8.6,21.81,38.6974673,3.87737677047,24
2009,MU,8.8,22.51,38.698377779,3.86291369864,365
2010,MU,9.1,28.33,39.1729020974,3.8469086291899997,476
2011,MU,9.3,34.95,38.6260196657,3.83139538427,508
2012,MU,9.6,35.42,37.3144342585,3.81471776172,2315
2013,MU,9.9,40.116825135,36.239520145,3.80303712702,1812
2008,MX,24.8,21.71,17122.6011146,3.0510935211300003,1739
2009,MX,25.3,26.34,19130.5599323,3.0419725207400004,18380
2010,MX,25.8,31.05,20722.133468,3.03500073333,30790
2011,MX,26.3,37.1762954125184,21547.2827911,3.03501535206,40363
2012,MX,26.8,39.75,21650.1888635,3.03533415914,71206
2013,MX,27.3,43.46,21688.0906267,3.03734015251,61869
2008,FM,40.1,14.49,6.4278800838,3.44406079899,42
2009,FM,40.8,15.35,6.45413076838,3.44960701148,368
2010,FM,41.5,20,6.52105461418,3.4498966721000004,450
2011,FM,42.2,22.8,6.54546573568,3.44574923878,526
2012,FM,42.9,25.9744230029883,6.53546705975,3.4360135490399997,637
2013,FM,43.7,27.8,6.58488636577,3.43346188689,486
2008,MD,16.3,23.39,345.821792507,3.8376635646499997,80
2009,MD,16.6,27.5,334.652171953,3.8247837598800003,1325
2010,MD,16.9,32.3,338.0087289,3.8143066548,2671
2011,MD,17.2,38,295.644186869,3.81204871379,5225
2012,MD,17.5,43.37,291.897314823,3.8039823527,11244
2013,MD,17.8,45,276.158147821,3.80479566481,16179
2008,MN,15.5,9.8,293.049613833,3.92062026991,183
2009,MN,16.1,10,287.313081182,3.9245085190499998,1761
2010,MN,16.7,10.2,293.363192888,3.9316498737900005,2509
2011,MN,17.3,12.4999911084745,298.31678465,3.92182067771,3292
2012,MN,17.9,16.4,299.142433513,3.90607655294,7963
2013,MN,18.6,17.699984237,295.075109959,3.90223385545,10641
2008,MA,20.9,33.1,375.66305372,6.20821362878,710
2009,MA,21.5,41.3,373.642064025,6.2006696273,9201
2010,MA,22.1,52,373.853525131,6.19334077718,13433
2011,MA,22.8,46.107482597,376.613746645,6.13635267734,11336
2012,MA,23.4,55.4160531914894,379.545627565,6.0794872595000005,15303
2013,MA,24.1,56,382.182481781,6.02532197844,9599
2008,MZ,5.2,1.56,1669.36881029,4.40580090397,23
2009,MZ,5.4,2.68,1690.01871815,4.41002246366,488
2010,MZ,5.7,4.17,1716.0095783,4.41698869839,524
2011,MZ,5.9,4.3,1727.89585697,4.41829678075,760
2012,MZ,6.1,4.8491,1751.76672155,4.41748422947,872
2013,MZ,6.4,5.4,1795.07395154,4.4204813202,810
2008,MM,3.6,0.22,1212.08835249,2.49970304754,9
2009,MM,3.8,0.22,1203.50161453,2.5014100617,237
2010,MM,4,0.25,1191.00258172,2.50699485343,177
2011,MM,4.3,0.98,1184.26290108,2.52177860242,351
2012,MM,4.6,1.44,1181.25506606,2.52944619116,2753
2013,MM,4.8,1.8,1180.33708537,2.53832374428,10268
2008,NA,13,5.32900377208954,385.574608536,3.93241709576,38
2009,NA,13.5,6.5,383.385876772,3.9091953514299997,656
2010,NA,14,11.6,392.376010272,3.89028760153,1427
2011,NA,14.6,12,399.062718859,3.90514776136,1498
2012,NA,15.1,12.9414,402.082461977,3.9153503897699995,2061
2013,NA,15.6,13.9,412.628929849,3.92846528133,1991
2008,NP,2.6,1.73,612.220956295,4.155293496540001,46
2009,NP,2.7,1.97,610.728596155,4.16835629002,581
2010,NP,2.9,7.93,605.169856033,4.17798138798,743
2011,NP,3.1,9,612.445578886,4.14997647521,807
2012,NP,3.3,11.1493,618.277561437,4.11666216353,1946
2013,NP,3.5,13.3,629.971110229,4.07900648434,2201
2008,NL,16.8,87.42,172.031630939,4.33555337423,8731
2009,NL,17.3,89.63,167.800020295,4.32881823595,136426
2010,NL,17.7,90.72,163.20433357,4.3285325091199995,215864
2011,NL,18.2,91.4199957622284,160.074900721,4.32772890141,212858
2012,NL,18.6,92.859992359525,157.247809453,4.32112340282,253322
2013,NL,19.1,93.9564,152.350067887,4.31318677515,168837
2008,NZ,26.1,72.03,61.6914149809,4.8160649838800005,3581
2009,NZ,26.6,79.7,62.3947937848,4.8090702231,45366
2010,NZ,27.2,80.46,59.3876084497,4.8067763249999995,54598
2011,NZ,27.8,81.23,58.4432779438,4.7992269858,71664
2012,NZ,28.4,81.644470179502,57.0395709352,4.79559714317,108208
2013,NZ,29,82.78,55.906436249,4.78713610435,76756
2008,NI,19.4,5.3,597.074062503,3.1703682778499997,31
2009,NI,19.9,7.3,591.52605354,3.15784162224,432
2010,NI,20.4,10,580.888828096,3.15177733318,713
2011,NI,20.9,10.6,575.190966501,3.1492537681700004,1070
2012,NI,21.5,13.5,587.502847951,3.15185106833,1813
2013,NI,22,15.5,601.490707128,3.15150778043,1708
2008,NE,3.7,0.7,349.131290648,3.9625914416800003,189
2009,NE,3.9,0.76,359.41060662,3.95942998286,3109
2010,NE,4.1,0.83,369.75059313,3.95932200545,3252
2011,NE,4.3,1.3,385.2402734,3.96030983244,4226
2012,NE,4.5,1.4077,402.968052905,3.96153701081,6508
2013,NE,4.8,1.7,424.721705713,3.9634258866100005,5714
2008,NG,6,15.86,1053.89143128,4.71494041116,104
2009,NG,6.4,20,1099.07074809,4.74228230718,1171
2010,NG,6.7,24,1129.34642561,4.7635790369099995,1630
2011,NG,7,28.43,1151.14063443,4.7014958635,2289
2012,NG,7.4,32.8,1179.82949148,4.63315584646,3543
2013,NG,7.7,38,1210.34202651,4.5690386769,2738
2008,NO,19.5,90.57,41.4096329779,3.9202808018099997,24650
2009,NO,19.9,92.08,42.2514946629,3.9039381475600003,215044
2010,NO,20.4,93.39,43.0611132845,3.8819374620700002,232626
2011,NO,20.8,93.4899826515194,45.9593127468,3.9080714944599997,213164
2012,NO,21.3,94.6499780533304,42.3354760983,3.9476296935299997,234979
2013,NO,21.7,95.0534,42.0441329941,3.97528342628,141736
2008,OM,21.8,20,13.6424910653,3.76052629758,85
2009,OM,22.4,26.8,15.1413963604,3.74171402054,946
2010,OM,23.1,35.8278,16.322256945,3.72708553423,1136
2011,OM,23.7,48,18.1584583577,3.7178901999000002,1564
2012,OM,24.3,60,20.3107138566,3.70510163161,2138
2013,OM,24.9,66.45,22.7066545045,3.6994474968,2183
2008,PK,5.9,7,8624.347341,3.8021551258899997,270
2009,PK,6.2,7.5,8893.31212011,3.7586508262400002,4419
2010,PK,6.5,8,9032.63375664,3.71873168425,7096
2011,PK,6.8,9,9179.57235552,3.70997966293,7433
2012,PK,7.1,9.96,9311.61434342,3.7134200937799995,15406
2013,PK,7.5,10.9,9453.93416266,3.70560659178,18180
2008,PA,18.6,33.82,535.331437156,2.96084446044,578
2009,PA,19.1,39.08,583.460172543,2.9532617642399996,3859
2010,PA,19.6,40.1,606.352032799,2.95288671668,5142
2011,PA,20.1,42.7,636.537517049,2.95496512219,4731
2012,PA,20.6,40.3018952210488,643.087498668,2.95544887099,6940
2013,PA,21.1,44.03,640.485137631,2.96076591219,6265
2008,PG,16.9,1.15,506.872547943,3.4994416898600003,72
2009,PG,17.4,1.61,519.607815068,3.5057936902900004,546
2010,PG,17.9,1.28,533.114009882,3.50648367212,727
2011,PG,18.5,2,544.951490086,3.5000357685199996,888
2012,PG,19,3.5,554.418363144,3.4950896674600003,1448
2013,PG,19.6,5.1,561.746043615,3.49327395052,1344
2008,PY,16.2,14.27,826.991253036,3.28754799824,23
2009,PY,16.7,18.9,833.408457971,3.2883770745999996,784
2010,PY,17.2,19.8,837.665969956,3.29974440501,1431
2011,PY,17.7,24.7635158793993,845.384822757,3.30410540104,2111
2012,PY,18.2,29.34,861.389877815,3.31025856263,5604
2013,PY,18.7,36.9,880.372856635,3.314971871,6894
2008,PE,16.5,30.57,1006.50578682,2.54906676749,413
2009,PE,16.9,31.4,1038.0285583,2.5352100531,4603
2010,PE,17.3,34.77,1059.70967362,2.5305673746400004,6299
2011,PE,17.7,36.01,1065.61955907,2.53019700214,9605
2012,PE,18.1,38.2,1071.49305024,2.5348941094099997,63920
2013,PE,18.5,39.2,1061.73938534,2.535701537,172206
2008,PH,4.6,6.22,13245.7683205,2.95322392664,614
2009,PH,4.8,9,12470.1866153,2.95407455295,9392
2010,PH,5,25,13138.2906795,2.95555096377,15141
2011,PH,5.2,29,13406.0709261,2.96780652754,19463
2012,PH,5.4,36.2351,13604.7540505,2.9622332796,153004
2013,PH,5.7,37,13754.1690811,2.97147666939,209646
2008,PL,20.1,53.13,926.698495466,2.51332367925,26663
2009,PL,20.5,58.97,893.136499924,2.51193676761,360534
2010,PL,20.8,62.32,855.890041481,2.51479728339,715404
2011,PL,21.2,61.94999896898,842.301452295,2.51075606192,753390
2012,PL,21.5,62.3099972714691,821.490027307,2.5024869731,818135
2013,PL,21.9,62.8492,795.198098914,2.49977805064,545245
2008,PT,17.2,44.13,181.970557813,5.2142631680000004,12269
2009,PT,17.7,48.27,176.534215822,5.20977970946,154498
2010,PT,18.1,53.3,173.157664598,5.19358452994,196375
2011,PT,18.6,55.2499968797194,165.863216222,5.16099498368,218553
2012,PT,19,60.3399974868057,162.831359235,5.13151107695,287458
2013,PT,19.5,62.0956,159.102962753,5.0959439204,203833
2008,QA,30,44.3,17.0832389219,3.84623322319,216
2009,QA,30.5,53.1,19.1140253368,3.82305987563,2216
2010,QA,31.1,69,20.7106168986,3.80993057818,2775
2011,QA,31.8,69,21.1772684205,3.8025830538800003,3282
2012,QA,32.4,69.3,21.8123953277,3.80617490822,4122
2013,QA,33.1,85.3,22.4436479478,3.81494897026,3468
2008,RU,20.9,26.83,32519.7056212,4.0860940675199995,26267
2009,RU,21.2,29,29414.0774215,4.06386392918,411117
2010,RU,21.4,43,27980.1605974,4.03988743251,731696
2011,RU,21.7,49,26190.7928409,4.044429868,1073018
2012,RU,21.9,63.8,24700.748013,4.04527474373,1777544
2013,RU,22.2,67.97,23966.5309881,4.04938156076,2157166
2008,RW,3.8,4.5,422.43494908,4.57528048529,83
2009,RW,4,7.7,423.830943924,4.5181983623,742
2010,RW,4.2,8,431.207832828,4.46821533172,1018
2011,RW,4.5,7,438.652485938,4.46855669029,814
2012,RW,4.7,8.02385427694765,448.179498209,4.46649194962,890
2013,RW,5,9,458.773449634,4.47531506517,932
2008,LC,15.8,32,27.8614064817,3.3523467623,65
2009,LC,16.2,36,28.8989882473,3.35474972577,688
2010,LC,16.5,43.3,29.5412038639,3.3458058368,842
2011,LC,17,44,30.4039127844,3.34473004249,564
2012,LC,17.4,45.9,29.4999786546,3.3565505389099997,1149
2013,LC,18,46.2,29.345821473,3.3554103072399997,1199
2008,VC,18.8,21,19.8241130721,3.4031326000299997,80
2009,VC,19.4,31,20.2944116781,3.40554169173,673
2010,VC,20,33.7,20.7846941713,3.40643168062,850
2011,VC,20.6,36.7,21.4111007666,3.4089808792,977
2012,VC,21.2,40,21.7449702553,3.4094956925699997,1187
2013,VC,21.8,43.5,22.3541543757,3.41740984457,924
2008,WS,42.2,5.03161531623702,7.7103757579,3.35570333509,55
2009,WS,42.8,6,7.76581615822,3.3525080294600005,511
2010,WS,43.4,7,7.85134396181,3.34947649831,414
2011,WS,44.1,11,7.88402889815,3.3460259576199998,419
2012,WS,44.7,12.92249,7.92400474251,3.3462148246099996,676
2013,WS,45.4,15.3,7.98150198571,3.3439626537700002,613
2008,ST,9.2,15.48,8.20302273276,3.58873358729,27
2009,ST,9.6,16.41,8.44554966538,3.58423786024,228
2010,ST,10,18.75,8.52332907246,3.5745361043800004,390
2011,ST,10.3,20.1612,8.76494790789,3.57954011057,368
2012,ST,10.7,21.5724,9.28985774939,3.5817030471400004,476
2013,ST,11.2,23,9.38130170199,3.59056281078,410
2008,SA,30.2,36,105.282098726,3.61860390116,785
2009,SA,30.8,38,110.545700953,3.62035399084,13955
2010,SA,31.5,41,115.768699057,3.62318400733,21008
2011,SA,32.1,47.5,134.766329371,3.6273989771,22544
2012,SA,32.8,54,137.39281592,3.6351890538800005,27699
2013,SA,33.4,60.5,132.889184423,3.64446988239,24561
2008,SN,6.5,7.12,163.234419553,3.83823923111,31
2009,SN,6.8,7.5,166.394120534,3.84522428673,379
2010,SN,7.1,8,170.723705598,3.84457546143,451
2011,SN,7.3,9.8,176.252756685,3.86566183739,439
2012,SN,7.6,10.8,182.092582002,3.87806905938,531
2013,SN,7.9,13.1,188.30642005,3.8880388410699998,464
2008,SC,11,40.44,6.83442146357,3.08040078431,71
2010,SC,11.7,41,6.55793376063,3.06914500411,788
2011,SC,12,43.16400446,6.39288295474,3.0667313641600003,1041
2012,SC,12.4,47.076,6.25712201386,3.07019219936,1428
2013,SC,12.8,50.4,6.14156023938,3.07175189174,887
2008,SL,6.3,0.25,85.4426900509,4.159810712970001,43
2009,SL,6.5,0.26,88.1115894804,4.16023167803,552
2010,SL,6.8,0.58,90.8686693932,4.16792329388,606
2011,SL,7.1,0.9,90.7435539212,4.171539619290001,754
2012,SL,7.4,1.3,95.1284507922,4.17315815955,1027
2013,SL,7.7,1.7,97.2423036236,4.17400161067,1018
2008,SG,5.2,69,22.0225319665,3.7743227311700003,3934
2009,SG,5.3,69,21.5667736915,3.75355985934,40533
2010,SG,5.4,71,20.6962022764,3.73109721477,42699
2011,SG,5.5,71,20.304366473,3.72467895521,52665
2012,SG,5.6,72,19.4197823687,3.7196310772200003,143948
2013,SG,5.7,80.90205685,18.930915639,3.7197056113399998,126368
2008,SK,17.8,66.05,176.124844454,2.7039089349300003,1456
2009,SK,18.1,70,167.47569939,2.6938545542,20881
2010,SK,18.4,75.71,159.632536691,2.68698666582,36553
2011,SK,18.8,74.4399971746757,154.656175058,2.68046649924,49522
2012,SK,19.1,76.7099901181121,148.749424934,2.67324181306,76597
2013,SK,19.4,77.8826,143.526217327,2.66740265162,64863
2008,SI,17.5,58,28.070651877,3.3780688681499997,882
2009,SI,17.8,64,26.6629741185,3.34405277879,10076
2010,SI,18.1,70,25.3750365352,3.30253944497,15031
2011,SI,18.4,67.3399948092396,25.085120755,3.28424290933,13737
2012,SI,18.8,68.3499745287825,24.4460559292,3.2650135280500003,18865
2013,SI,19.1,72.6756,24.3670053906,3.25130398201,13848
2008,SB,17.6,3,30.9187640977,3.4538703989400004,38
2009,SB,18.1,4,31.8317747791,3.45243260312,311
2010,SB,18.7,5,32.5091711667,3.4553442601400004,216
2011,SB,19.3,6,33.0204632493,3.4477149583,397
2012,SB,19.9,6.9974,33.4927440196,3.44671353279,482
2013,SB,20.6,8,34.162968327,3.4378356545499997,510
2008,SO,5.9,1.14268737216185,676.804159271,4.31526881338,129
2009,SO,6.2,1.16061054246061,693.057444066,4.309190655999999,1694
2011,SO,6.7,1.25,725.700819996,4.30363528427,2317
2012,SO,7,1.3767,760.427808271,4.30497556011,3611
2013,SO,7.3,1.5,778.271720313,4.310469514439999,2748
2008,ZA,24,8.43,21619.8758027,4.16407878827,1659
2009,ZA,24.5,10,20818.9455722,4.1484548246,26552
2010,ZA,25.1,24,20102.2948737,4.13374089204,54035
2011,ZA,25.6,33.97,19366.7528724,4.13519046496,69412
2012,ZA,26.1,41,18635.1040235,4.13905545239,110830
2013,ZA,26.7,46.5,18302.8846825,4.14254037405,110622
2008,KR,3.7,81,968.033172165,3.95172038547,6361
2009,KR,3.8,81.6,941.604956666,3.98513957193,58685
2010,KR,3.9,83.7,916.522130299,4.0204228004,74698
2011,KR,4,83.7591201534472,878.576208769,4.01356896961,104892
2012,KR,4.1,84.07,849.214226075,4.01486107521,127707
2013,KR,4.3,84.77,832.67279088,4.00817213238,118871
2008,ES,21,59.6,413.075244683,3.67728254975,17904
2009,ES,21.3,62.4,397.225877385,3.7023672723099996,207170
2010,ES,21.7,65.8,380.83792809,3.72203342427,275968
2011,ES,22,67.0899993926581,370.836045511,3.73508475486,280399
2012,ES,22.4,69.8099999420024,358.3401874,3.7428988466799997,331339
2013,ES,22.7,71.635,343.09854888,3.75335251528,206120
2008,LK,3.3,5.8,1111.65339744,3.6511349062200003,113
2009,LK,3.5,8.78,1045.67019059,3.63933847119,5413
2010,LK,3.7,12,1009.07018627,3.6303492298199997,7547
2011,LK,3.9,15,1006.53194773,3.6348626117899996,9456
2012,LK,4.1,18.2854,1000.97980185,3.63490306944,12497
2013,LK,4.4,21.9,999.671150288,3.6395743618,11883
2008,SR,22.5,21.06,46.9831334771,4.80904259971,31
2009,SR,23,31.36,48.3623372414,4.82528142236,360
2010,SR,23.5,31.59,49.3394034837,4.840124679240001,358
2011,SR,24,32,50.137174693,4.8303143115800005,389
2012,SR,24.4,34.6812,50.2222168715,4.81691286808,560
2013,SR,24.9,37.4,50.6797877053,4.80587070322,393
2008,SZ,13.4,6.85,224.504476709,4.49565175735,49
2009,SZ,13.8,8.94,229.462790013,4.5030253911199996,557
2010,SZ,14.1,11.04,233.428217868,4.51745237132,572
2011,SZ,14.5,18.13,235.794168301,4.52167505083,829
2012,SZ,14.9,20.7817825772944,239.247457119,4.5293749583,1165
2013,SZ,15.3,24.7,243.763487509,4.54025180219,1176
2008,SE,17.4,90,111.489518423,5.04453628531,36369
2009,SE,17.8,91,111.206373784,5.03144914971,356770
2010,SE,18.2,90,110.227881812,5.02279123952,424646
