years,iso,obesity,individuals,homicide,deppression,n_friends
2010,BT,4.6,13.6,10.4677441075,3.69457864703,1541
2011,BT,4.9,14.4,10.5404264643,3.6948666939,1096
2012,BT,5.2,15.6,10.5785828914,3.70063738484,1285
2013,BT,5.5,22.4,10.6921608443,3.70416543271,1112
2008,BO,16.5,12.5,605.976149195,3.52985710119,201
2009,BO,17,16.8,615.986747771,3.5220424818400002,1986
2010,BO,17.4,22.4,635.8058475,3.5180773950099997,1809
2011,BO,17.9,30,638.672815204,3.50396689715,1655
2012,BO,18.3,35.34,646.469392874,3.4946033515800003,4683
2013,BO,18.8,36.99,654.782255993,3.4857220409400003,9067
2008,BA,14.9,34.66,124.525477974,2.65002206369,938
2009,BA,15.3,37.74,123.423393439,2.62258332499,9366
2010,BA,15.6,42.75,122.52908624,2.59841342977,10577
2011,BA,16,47.77,122.270728733,2.59478737746,13274
2012,BA,16.3,52.78,115.125164068,2.5902631239900002,19909
2013,BA,16.7,57.79,109.098807438,2.58115120154,20376
2008,BW,16.2,6.25,293.092719308,4.47424630232,62
2009,BW,16.5,6.15,299.586496371,4.47091192657,738
2010,BW,16.9,6,296.731841559,4.46230563252,913
2011,BW,17.2,8,293.796650634,4.4477844914,1005
2012,BW,17.5,11.5,294.362249611,4.43320750983,1450
2013,BW,17.9,15,292.817797695,4.43135132622,1242
2008,BR,18.2,33.83,55990.1094759,4.1966225425,31397
2009,BR,18.7,39.22,57010.2316276,4.0708702746,369414
2010,BR,19.2,40.65,57534.2042047,3.9547422623599995,507887
2011,BR,19.6,45.69,58111.6682427,3.9092276064,670449
2012,BR,20.1,48.56,59156.2700586,3.8685477014700003,1220803
2013,BR,20.6,51.04,59257.5629375,3.8291088124500003,1223962
2008,BN,10.2,46,4.88047161324,2.8908492613199996,146
2009,BN,10.7,49,4.92422572542,2.88007462313,1354
2010,BN,11.1,53,4.89333896011,2.874151755,2091
2011,BN,11.6,56,4.92355380143,2.88440428082,1872
2012,BN,12.1,60.2730650423193,4.97594892243,2.89383599749,3146
2013,BN,12.6,64.5,5.0350833328,2.9030183435900003,2385
2008,BG,21.6,39.67,237.214086664,2.83318641363,565
2009,BG,22,45,232.217571459,2.81646599271,9676
2010,BG,22.4,46.23,221.849718537,2.80170241531,15834
2011,BG,22.8,47.9799930506026,213.384290445,2.79845637343,23111
2012,BG,23.2,51.8999876658503,206.289181181,2.80075438368,45167
2013,BG,23.7,53.0615,199.093430879,2.79835967021,44477
2008,BF,3.5,0.92,131.540255051,4.13870227569,95
2009,BF,3.7,1.13,136.765830684,4.13466780338,906
2010,BF,4,2.4,143.938858605,4.12844390669,930
2011,BF,4.2,3,144.183640076,4.14318489751,1063
2012,BF,4.5,3.72503491597675,156.556089348,4.1548586292100005,1435
2013,BF,4.7,9.1,162.811780601,4.16878499122,1273
2008,BI,3.6,0.81,86.2740449631,4.359433125,38
2009,BI,3.8,0.9,88.6498747929,4.33002803265,371
2010,BI,4,1,93.1188021954,4.3048534083200005,366
